DATA THROUGH 2023,State,Station_ID,City,Start_Date,End_Date,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
93739WALLOPS ISLAND,VA,93739,WALLOPS ISLAND,196610,202312,21,17,10,1,0,0,0,0,0,NA,6,16,71
24227OLYMPIA,WA,24227,OLYMPIA,194106,202312,15,14,14,8,2,NA,0,0,NA,5,10,14,82
94240QUILLAYUTE,WA,94240,QUILLAYUTE,196608,202312,11,11,9,5,NA,0,0,0,NA,3,7,12,58
24233SEATTLE,WA,24233,SEATTLE,194801,202312,9,7,3,NA,NA,0,0,0,0,NA,4,8,32
24157SPOKANE,WA,24157,SPOKANE,188908,202312,26,23,19,8,1,0,0,0,NA,7,18,26,128
24160WALLA WALLA,WA,24160,WALLA WALLA,194901,202312,19,13,7,1,NA,0,0,0,NA,2,10,19,71
24243YAKIMA,WA,24243,YAKIMA,194610,202312,28,24,21,12,3,NA,0,0,1,11,22,28,148
03872BECKLEY,WV,03872,BECKLEY,196306,202312,25,21,16,6,1,NA,0,0,NA,5,14,22,110
13866CHARLESTON,WV,13866,CHARLESTON,194712,202312,23,20,14,4,NA,0,0,0,0,3,13,20,97
13729ELKINS,WV,13729,ELKINS,192601,202312,26,24,21,11,2,NA,NA,0,1,9,20,25,139
03860HUNTINGTON,WV,03860,HUNTINGTON,196101,202312,23,20,13,3,NA,0,0,0,NA,3,11,19,93
14898GREEN BAY,WI,14898,GREEN BAY,188609,202312,30,27,26,13,2,NA,0,0,1,7,21,29,155
14920LA CROSSE,WI,14920,LA CROSSE,193804,202312,30,27,25,10,1,NA,0,0,NA,6,21,29,148
14837MADISON,WI,14837,MADISON,193910,202312,30,27,25,12,2,NA,0,0,1,8,21,29,154
14839MILWAUKEE,WI,14839,MILWAUKEE,193804,202312,29,26,23,8,1,0,0,0,NA,3,17,27,133
24089CASPER,WY,24089,CASPER,194808,202312,29,26,27,20,7,NA,NA,NA,3,16,25,29,182
24018CHEYENNE,WY,24018,CHEYENNE,191501,202312,29,26,27,18,5,NA,0,0,2,12,25,28,174
24021LANDER,WY,24021,LANDER,194801,202312,31,28,28,18,5,NA,0,0,2,14,27,31,183
24029SHERIDAN,WY,24029,SHERIDAN,194801,202312,30,27,28,18,5,NA,0,NA,3,16,27,30,185
41415GUAM,PC,41415,GUAM,194509,202312,0,0,0,0,0,0,0,0,0,0,0,0,0
40309KOROR,PC,40309,KOROR,195107,202310,0,0,0,0,0,0,0,0,0,0,0,0,0
40604KWAJALEIN- MARSHALL IS.,PC,40604,KWAJALEIN- MARSHALL IS.,195205,202311,0,0,0,0,0,0,0,0,0,0,0,0,0
40710MAJURO- MARSHALL IS,PC,40710,MAJURO- MARSHALL IS,195502,202312,0,0,0,0,0,0,0,0,0,0,0,0,0
61705PAGO PAGO- AMER SAMOA,PC,61705,PAGO PAGO- AMER SAMOA,196604,202312,0,0,0,0,0,0,0,0,0,0,0,0,0
40504POHNPEI- CAROLINE IS.,PC,40504,POHNPEI- CAROLINE IS.,195107,202312,0,0,0,0,0,0,0,0,0,0,0,0,0
40505CHUUK- E. CAROLINE IS.,PC,40505,CHUUK- E. CAROLINE IS.,195107,202312,0,0,0,0,0,0,0,0,0,0,0,0,0
40308YAP- W CAROLINE IS.,PC,40308,YAP- W CAROLINE IS.,195107,202312,0,0,0,0,0,0,0,0,0,0,0,0,0
11641SAN JUAN,PR,11641,SAN JUAN,195601,202312,0,0,0,0,0,0,0,0,0,0,0,0,0
