DATA THROUGH 2023,State,Station_ID,City,Start_Date,End_Date,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
13737NORFOLK,VA,13737,NORFOLK,194601,202312,0,0,0,NA,2,7,13,9,3,NA,0,0,34
13740RICHMOND,VA,13740,RICHMOND,193903,202312,0,0,NA,1,3,9,15,11,4,NA,0,0,44
13741ROANOKE,VA,13741,ROANOKE,194801,202312,0,0,0,NA,1,6,12,9,3,NA,0,0,31
93739WALLOPS ISLAND,VA,93739,WALLOPS ISLAND,196610,202312,0,0,0,NA,1,3,7,4,1,NA,0,0,15
24227OLYMPIA,WA,24227,OLYMPIA,194106,202312,0,0,0,0,NA,1,3,2,NA,NA,0,0,6
94240QUILLAYUTE,WA,94240,QUILLAYUTE,196608,202312,0,0,0,0,NA,NA,NA,1,NA,0,0,0,1
24233SEATTLE,WA,24233,SEATTLE,194801,202312,0,0,0,0,NA,1,1,1,NA,0,0,0,3
24157SPOKANE,WA,24157,SPOKANE,188908,202312,0,0,0,NA,NA,2,9,8,1,0,0,0,20
24160WALLA WALLA,WA,24160,WALLA WALLA,194901,202312,0,0,0,NA,1,5,17,14,3,0,0,0,41
24243YAKIMA,WA,24243,YAKIMA,194610,202312,0,0,0,NA,1,5,15,12,3,NA,0,0,36
03872BECKLEY,WV,03872,BECKLEY,196306,202312,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,1
13866CHARLESTON,WV,13866,CHARLESTON,194712,202312,0,0,0,NA,1,4,8,6,3,NA,0,0,22
13729ELKINS,WV,13729,ELKINS,192601,202312,0,0,0,0,NA,NA,1,1,NA,NA,0,0,3
03860HUNTINGTON,WV,03860,HUNTINGTON,196101,202312,0,0,0,NA,1,4,8,6,2,NA,0,0,22
14898GREEN BAY,WI,14898,GREEN BAY,188609,202312,0,0,0,0,NA,2,3,2,1,0,0,0,8
14920LA CROSSE,WI,14920,LA CROSSE,193804,202312,0,0,0,NA,1,3,7,5,1,NA,0,0,17
14837MADISON,WI,14837,MADISON,193910,202312,0,0,0,NA,NA,3,5,3,1,NA,0,0,12
14839MILWAUKEE,WI,14839,MILWAUKEE,193804,202312,0,0,0,NA,NA,2,4,3,1,0,0,0,10
24089CASPER,WY,24089,CASPER,194808,202312,0,0,0,0,NA,5,15,11,2,0,0,0,32
24018CHEYENNE,WY,24018,CHEYENNE,191501,202312,0,0,0,0,NA,1,6,3,NA,0,0,0,11
24021LANDER,WY,24021,LANDER,194801,202312,0,0,0,0,NA,3,12,8,1,0,0,0,25
24029SHERIDAN,WY,24029,SHERIDAN,194801,202312,0,0,0,0,NA,3,13,12,3,NA,0,0,31
41415GUAM,PC,41415,GUAM,194509,202312,NA,NA,1,4,6,8,6,5,4,5,3,1,44
40309KOROR,PC,40309,KOROR,195107,202310,5,4,7,11,14,9,5,4,5,9,12,8,93
40604KWAJALEIN- MARSHALL IS.,PC,40604,KWAJALEIN- MARSHALL IS.,195205,202311,NA,NA,NA,1,1,1,1,2,3,2,1,NA,12
40710MAJURO- MARSHALL IS,PC,40710,MAJURO- MARSHALL IS,195502,202312,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,3
61705PAGO PAGO- AMER SAMOA,PC,61705,PAGO PAGO- AMER SAMOA,196604,202312,4,5,6,3,1,NA,NA,NA,NA,1,2,3,25
40504POHNPEI- CAROLINE IS.,PC,40504,POHNPEI- CAROLINE IS.,195107,202312,1,1,3,4,6,5,9,12,13,14,9,4,80
40505CHUUK- E. CAROLINE IS.,PC,40505,CHUUK- E. CAROLINE IS.,195107,202312,1,1,1,2,3,2,3,3,4,4,2,1,25
40308YAP- W CAROLINE IS.,PC,40308,YAP- W CAROLINE IS.,195107,202312,1,1,2,5,8,6,4,4,4,5,4,1,44
11641SAN JUAN,PR,11641,SAN JUAN,195601,202312,NA,1,2,4,6,10,9,11,12,9,2,NA,67
